,file_index,best_score,epoch_no
0,1,0.43936440348625183,26
1,2,0.5715734362602234,9
2,3,0.7897947430610657,12
3,4,0.6412197947502136,11
4,5,0.6230683326721191,14
5,6,0.34377527236938477,41
6,7,0.8030167818069458,6
7,8,0.45540210604667664,0
8,9,0.38291317224502563,5
9,10,0.7608258724212646,14
10,11,0.4068284034729004,2
11,12,0.36112722754478455,9
12,13,0.5248443484306335,19
13,14,0.835360586643219,3
14,15,0.78846275806427,3
15,16,0.5256099700927734,15
16,17,0.5419562458992004,0
17,18,0.8838680982589722,3
18,19,0.6065422296524048,4
19,20,0.4640629291534424,22
20,21,0.09489087015390396,25
21,22,0.7928994297981262,2
22,23,0.9085375666618347,1
23,24,0.7070847749710083,4
24,25,0.615105390548706,48
25,26,0.4648650288581848,2
26,27,0.5354238748550415,10
27,28,0.44521620869636536,0
28,29,0.4188176989555359,48
29,30,0.7332732081413269,0
30,31,0.6502333283424377,11
31,32,0.6527776718139648,0
32,33,0.31628188490867615,1
33,34,0.6995630264282227,20
34,35,0.7616835236549377,4
35,36,0.4023507237434387,5
36,37,0.6334843635559082,0
37,38,0.3413708209991455,3
38,39,0.6113273501396179,1
39,40,0.43475037813186646,8
40,41,0.25167116522789,49
41,42,0.8006855845451355,45
42,43,0.3735162019729614,47
43,44,0.5790774822235107,0
44,45,0.5725715756416321,2
45,46,0.3756785988807678,1
46,47,0.8344419002532959,5
47,48,0.5909793972969055,37
48,49,0.5202697515487671,6
49,50,0.44188061356544495,0
50,51,0.3515886068344116,49
51,52,0.29980674386024475,0
52,53,0.632144570350647,8
53,54,0.12631328403949738,13
54,55,0.5631839036941528,20
55,56,0.6785340905189514,2
56,57,0.41661110520362854,5
57,58,0.6136190891265869,7
58,59,0.5966365933418274,0
59,60,0.4375438392162323,49
60,61,0.6296066045761108,0
61,62,0.4380345940589905,0
62,63,0.6836143136024475,3
63,64,0.5364007949829102,0
64,65,0.9252201914787292,1
65,66,0.7165574431419373,49
66,67,0.7816073298454285,0
67,68,0.5664021372795105,2
68,69,0.6569516062736511,12
69,70,0.23933087289333344,3
70,71,0.432269811630249,0
71,72,0.9747445583343506,12
72,73,0.47894302010536194,49
73,74,0.4243653416633606,22
74,75,0.6134899258613586,7
75,76,0.6777482032775879,6
76,77,0.4314005374908447,7
77,78,0.6216641664505005,0
78,79,0.7353100180625916,0
79,80,0.4828239679336548,10
80,81,0.617393970489502,41
81,82,0.4524485170841217,49
82,83,0.10827160626649857,10
83,84,0.7516787052154541,15
84,85,0.7194260358810425,4
85,86,0.6397089958190918,11
86,87,0.48635533452033997,33
87,88,0.6036052703857422,43
88,89,0.6268294453620911,0
89,90,0.7795702815055847,0
