HR,LR
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0910h.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0910h.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0206a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0206a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/opo0123a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_opo0123a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1712a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1712a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0910i.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0910i.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1323a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1323a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1811a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1811a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1542a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1542a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw2114a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw2114a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0206b.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0206b.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1850a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1850a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1509a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1509a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw2006a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw2006a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1714a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1714a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0206c.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0206c.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1708a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1708a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/opo0006a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_opo0006a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/opo0010a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_opo0010a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1345a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1345a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw2050a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw2050a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw1847a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw1847a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0817a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0817a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0905a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0905a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1302a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1302a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic2105a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic2105a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1007a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1007a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic2017a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic2017a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0719a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0719a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic0109a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic0109a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/potw2108a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_potw2108a.tif
../../Prep_Images/Hubble_Images_top90_256x256_se_hr_4_001/heic1811a.tif,../../Prep_Images/Hubble_Images_top90_256x256_se_lr_4_001/lr_heic1811a.tif
