HR,LR
../../data_demo/Prep_Images/fits_se_hr_4_001/se_nicmos_H_095755+0233_sci_25.fits,../../data_demo/Prep_Images/fits_se_lr_4_001/lr_se_nicmos_H_095755+0233_sci_25.fits
../../data_demo/Prep_Images/fits_se_hr_4_001/se_nicmos_H_095756+0157_sci_25.fits,../../data_demo/Prep_Images/fits_se_lr_4_001/lr_se_nicmos_H_095756+0157_sci_25.fits
../../data_demo/Prep_Images/fits_se_hr_4_001/se_nicmos_H_095750+0226_sci_25.fits,../../data_demo/Prep_Images/fits_se_lr_4_001/lr_se_nicmos_H_095750+0226_sci_25.fits
../../data_demo/Prep_Images/fits_se_hr_4_001/se_nicmos_H_095752+0210_sci_25.fits,../../data_demo/Prep_Images/fits_se_lr_4_001/lr_se_nicmos_H_095752+0210_sci_25.fits
../../data_demo/Prep_Images/fits_se_hr_4_001/se_nicmos_H_095754+0213_sci_25.fits,../../data_demo/Prep_Images/fits_se_lr_4_001/lr_se_nicmos_H_095754+0213_sci_25.fits
../../data_demo/Prep_Images/fits_se_hr_4_001/se_nicmos_H_095754+0154_sci_25.fits,../../data_demo/Prep_Images/fits_se_lr_4_001/lr_se_nicmos_H_095754+0154_sci_25.fits
../../data_demo/Prep_Images/fits_se_hr_4_001/se_nicmos_H_095746+0220_sci_25.fits,../../data_demo/Prep_Images/fits_se_lr_4_001/lr_se_nicmos_H_095746+0220_sci_25.fits
../../data_demo/Prep_Images/fits_se_hr_4_001/se_nicmos_H_095748+0223_sci_25.fits,../../data_demo/Prep_Images/fits_se_lr_4_001/lr_se_nicmos_H_095748+0223_sci_25.fits
../../data_demo/Prep_Images/fits_se_hr_4_001/se_nicmos_H_095753+0230_sci_25.fits,../../data_demo/Prep_Images/fits_se_lr_4_001/lr_se_nicmos_H_095753+0230_sci_25.fits
../../data_demo/Prep_Images/fits_se_hr_4_001/se_nicmos_H_095751+0151_sci_25.fits,../../data_demo/Prep_Images/fits_se_lr_4_001/lr_se_nicmos_H_095751+0151_sci_25.fits
