,0
0,tensor(36.9874)
1,tensor(35.2146)
2,tensor(38.2940)
3,tensor(37.1149)
4,tensor(37.0350)
5,tensor(37.5267)
6,tensor(37.1520)
7,tensor(37.0636)
8,tensor(38.4256)
9,tensor(34.0418)
10,tensor(35.9084)
11,tensor(37.0549)
12,tensor(34.3020)
13,tensor(38.6540)
14,tensor(38.6877)
15,tensor(38.5794)
16,tensor(37.7019)
17,tensor(36.9221)
18,tensor(35.5216)
19,tensor(36.9956)
20,tensor(36.4273)
21,tensor(38.0999)
22,tensor(36.7800)
23,tensor(36.1554)
24,tensor(37.0339)
25,tensor(35.8393)
26,tensor(34.5135)
27,tensor(38.4855)
28,tensor(39.1217)
29,tensor(38.6638)
30,tensor(36.0889)
31,tensor(37.8393)
32,tensor(37.0739)
33,tensor(36.9171)
34,tensor(37.1040)
35,tensor(39.7352)
36,tensor(37.0376)
37,tensor(38.7467)
38,tensor(38.2845)
39,tensor(36.9118)
40,tensor(36.8922)
41,tensor(36.1177)
42,tensor(36.7899)
43,tensor(38.1934)
44,tensor(35.4991)
45,tensor(35.7386)
46,tensor(37.0186)
47,tensor(36.7634)
48,tensor(37.8057)
49,tensor(38.5047)
50,tensor(37.1800)
51,tensor(41.5753)
52,tensor(37.4518)
53,tensor(36.5568)
54,tensor(36.9136)
55,tensor(35.7505)
56,tensor(41.3858)
57,tensor(37.0312)
58,tensor(34.9461)
59,tensor(34.0492)
60,tensor(37.0818)
61,tensor(37.0434)
62,tensor(35.8478)
63,tensor(41.1381)
64,tensor(35.8766)
65,tensor(37.9179)
66,tensor(36.1811)
67,tensor(35.6058)
68,tensor(35.7610)
69,tensor(41.4686)
70,tensor(37.0195)
71,tensor(36.0210)
72,tensor(41.4583)
73,tensor(36.9993)
74,tensor(36.4224)
75,tensor(38.0672)
76,tensor(38.6554)
77,tensor(36.8725)
78,tensor(38.4556)
79,tensor(35.5326)
80,tensor(38.4027)
81,tensor(35.9454)
82,tensor(38.7832)
83,tensor(41.6014)
84,tensor(35.8284)
85,tensor(38.8115)
86,tensor(36.7396)
87,tensor(37.0906)
88,tensor(35.9552)
89,tensor(36.5655)
90,tensor(37.0248)
91,tensor(36.1638)
92,tensor(35.5392)
93,tensor(39.4377)
