,0
0,tensor(0.5782)
1,tensor(0.6394)
2,tensor(0.7571)
3,tensor(0.7529)
4,tensor(0.5834)
5,tensor(0.7370)
6,tensor(0.7744)
7,tensor(0.5816)
8,tensor(0.7734)
9,tensor(0.6174)
10,tensor(0.5821)
11,tensor(0.7510)
12,tensor(0.8175)
13,tensor(0.7561)
14,tensor(0.7571)
15,tensor(0.7518)
16,tensor(0.7610)
17,tensor(0.5935)
18,tensor(0.5733)
19,tensor(0.6007)
20,tensor(0.7897)
21,tensor(0.7466)
22,tensor(0.5723)
23,tensor(0.7501)
24,tensor(0.5878)
25,tensor(0.6282)
26,tensor(0.5162)
27,tensor(0.7510)
28,tensor(0.9297)
29,tensor(0.7550)
30,tensor(0.5783)
31,tensor(0.7732)
32,tensor(0.5839)
33,tensor(0.6017)
34,tensor(0.5850)
35,tensor(0.8243)
36,tensor(0.5881)
37,tensor(0.7589)
38,tensor(0.7713)
39,tensor(0.5760)
40,tensor(0.5809)
41,tensor(0.5417)
42,tensor(0.5696)
43,tensor(0.7454)
44,tensor(0.5771)
45,tensor(0.5822)
46,tensor(0.6072)
47,tensor(0.5745)
48,tensor(0.7601)
49,tensor(0.7760)
50,tensor(0.7354)
51,tensor(0.7931)
52,tensor(0.7537)
53,tensor(0.5601)
54,tensor(0.5721)
55,tensor(0.5729)
56,tensor(0.7845)
57,tensor(0.5779)
58,tensor(0.6110)
59,tensor(0.5706)
60,tensor(0.5840)
61,tensor(0.5838)
62,tensor(0.5737)
63,tensor(0.9387)
64,tensor(0.5675)
65,tensor(0.7845)
66,tensor(0.7596)
67,tensor(0.5734)
68,tensor(0.6179)
69,tensor(0.8055)
70,tensor(0.5829)
71,tensor(0.5460)
72,tensor(0.7906)
73,tensor(0.5892)
74,tensor(0.5552)
75,tensor(0.7710)
76,tensor(0.7564)
77,tensor(0.6093)
78,tensor(0.7496)
79,tensor(0.5287)
80,tensor(0.7543)
81,tensor(0.5812)
82,tensor(0.7618)
83,tensor(0.7973)
84,tensor(0.5654)
85,tensor(0.7641)
86,tensor(0.7466)
87,tensor(0.5846)
88,tensor(0.5761)
89,tensor(0.5658)
90,tensor(0.5909)
91,tensor(0.7568)
92,tensor(0.5768)
93,tensor(0.8075)
94,tensor(0.5845)
95,tensor(0.6046)
96,tensor(0.5858)
97,tensor(0.5770)
98,tensor(0.6078)
99,tensor(0.5808)
100,tensor(0.5894)
101,tensor(0.7779)
102,tensor(0.5509)
103,tensor(0.7579)
104,tensor(0.5822)
105,tensor(0.6050)
106,tensor(0.5840)
107,tensor(0.5499)
108,tensor(0.5789)
109,tensor(0.6070)
110,tensor(0.5788)
111,tensor(0.5454)
112,tensor(0.6160)
113,tensor(0.5730)
114,tensor(0.5805)
115,tensor(0.7554)
116,tensor(0.5669)
117,tensor(0.5796)
118,tensor(0.7795)
119,tensor(0.5720)
120,tensor(0.6165)
121,tensor(0.5609)
122,tensor(0.5854)
123,tensor(0.5444)
124,tensor(0.5804)
125,tensor(0.6824)
126,tensor(0.5633)
127,tensor(0.5980)
128,tensor(0.6015)
129,tensor(0.7623)
130,tensor(0.5727)
131,tensor(0.5806)
132,tensor(0.5824)
133,tensor(0.5776)
134,tensor(0.6199)
135,tensor(0.5852)
136,tensor(0.5934)
137,tensor(0.5846)
138,tensor(0.5846)
139,tensor(0.7587)
140,tensor(0.5911)
141,tensor(0.7590)
142,tensor(0.5753)
143,tensor(0.5693)
144,tensor(0.5858)
145,tensor(0.7541)
146,tensor(0.5827)
147,tensor(0.7561)
148,tensor(0.7804)
149,tensor(0.7799)
150,tensor(0.5833)
151,tensor(0.5972)
152,tensor(0.7719)
153,tensor(0.5808)
154,tensor(0.5845)
155,tensor(0.5814)
156,tensor(0.7704)
157,tensor(0.7461)
158,tensor(0.7875)
159,tensor(0.5818)
160,tensor(0.6024)
161,tensor(0.5601)
162,tensor(0.5881)
163,tensor(0.7581)
164,tensor(0.7570)
165,tensor(0.7748)
166,tensor(0.5683)
167,tensor(0.5858)
168,tensor(0.5560)
169,tensor(0.5769)
170,tensor(0.7771)
171,tensor(0.5879)
172,tensor(0.5124)
173,tensor(0.4956)
174,tensor(0.5298)
175,tensor(0.6201)
176,tensor(0.7419)
177,tensor(0.5979)
178,tensor(0.7698)
179,tensor(0.5900)
180,tensor(0.7749)
181,tensor(0.5458)
182,tensor(0.7630)
183,tensor(0.5617)
184,tensor(0.7648)
185,tensor(0.5844)
186,tensor(0.5824)
187,tensor(0.5614)
188,tensor(0.5734)
189,tensor(0.5386)
190,tensor(0.7593)
191,tensor(0.5831)
192,tensor(0.7646)
193,tensor(0.5754)
194,tensor(0.5863)
195,tensor(0.7419)
196,tensor(0.5914)
197,tensor(0.7550)
198,tensor(0.6028)
199,tensor(0.5606)
200,tensor(0.5582)
201,tensor(0.7800)
202,tensor(0.5918)
203,tensor(0.5831)
204,tensor(0.7673)
205,tensor(0.7640)
206,tensor(0.7972)
207,tensor(0.6263)
208,tensor(0.5802)
209,tensor(0.5733)
210,tensor(0.5343)
211,tensor(0.5726)
212,tensor(0.5809)
213,tensor(0.5822)
214,tensor(0.5720)
215,tensor(0.6132)
216,tensor(0.5715)
217,tensor(0.5761)
218,tensor(0.5866)
219,tensor(0.6084)
220,tensor(0.9370)
221,tensor(0.7801)
222,tensor(0.5684)
223,tensor(0.7759)
