,0
0,tensor(0.5221)
1,tensor(0.5295)
2,tensor(0.6033)
3,tensor(0.7069)
4,tensor(0.5290)
5,tensor(0.5653)
6,tensor(0.7480)
7,tensor(0.5264)
8,tensor(0.7468)
9,tensor(0.5676)
10,tensor(0.5187)
11,tensor(0.5956)
12,tensor(0.4292)
13,tensor(0.7099)
14,tensor(0.6177)
15,tensor(0.6203)
16,tensor(0.7162)
17,tensor(0.5638)
18,tensor(0.5109)
19,tensor(0.5761)
20,tensor(0.7474)
21,tensor(0.5908)
22,tensor(0.5129)
23,tensor(0.7007)
24,tensor(0.5679)
25,tensor(0.5302)
26,tensor(0.4439)
27,tensor(0.5983)
28,tensor(0.8964)
29,tensor(0.6342)
30,tensor(0.5169)
31,tensor(0.5916)
32,tensor(0.5251)
33,tensor(0.5770)
34,tensor(0.5319)
35,tensor(0.8137)
36,tensor(0.5604)
37,tensor(0.7219)
38,tensor(0.7280)
39,tensor(0.5203)
40,tensor(0.5235)
41,tensor(0.4833)
42,tensor(0.5129)
43,tensor(0.5902)
44,tensor(0.5143)
45,tensor(0.5189)
46,tensor(0.5921)
47,tensor(0.5149)
48,tensor(0.7171)
49,tensor(0.7604)
50,tensor(0.5753)
51,tensor(0.7535)
52,tensor(0.7103)
53,tensor(0.5020)
54,tensor(0.5157)
55,tensor(0.5098)
56,tensor(0.7423)
57,tensor(0.5237)
58,tensor(0.5087)
59,tensor(0.4670)
60,tensor(0.5281)
61,tensor(0.5268)
62,tensor(0.5122)
63,tensor(0.9049)
64,tensor(0.5079)
65,tensor(0.7577)
66,tensor(0.5286)
67,tensor(0.5132)
68,tensor(0.5217)
69,tensor(0.7887)
70,tensor(0.5499)
71,tensor(0.4866)
72,tensor(0.7477)
73,tensor(0.5602)
74,tensor(0.4959)
75,tensor(0.5887)
76,tensor(0.7017)
77,tensor(0.5896)
78,tensor(0.5976)
79,tensor(0.4710)
80,tensor(0.6021)
81,tensor(0.5205)
82,tensor(0.6138)
83,tensor(0.7785)
84,tensor(0.5038)
85,tensor(0.7239)
86,tensor(0.7008)
87,tensor(0.5291)
88,tensor(0.5146)
89,tensor(0.5061)
90,tensor(0.5641)
91,tensor(0.5269)
92,tensor(0.5124)
93,tensor(0.7956)
94,tensor(0.5284)
95,tensor(0.5826)
96,tensor(0.5551)
97,tensor(0.5207)
98,tensor(0.5129)
99,tensor(0.5450)
100,tensor(0.5622)
101,tensor(0.7344)
102,tensor(0.4772)
103,tensor(0.5961)
104,tensor(0.5225)
105,tensor(0.5839)
106,tensor(0.5520)
107,tensor(0.4876)
108,tensor(0.5224)
109,tensor(0.5878)
110,tensor(0.5249)
111,tensor(0.4874)
112,tensor(0.6018)
113,tensor(0.5120)
114,tensor(0.5183)
115,tensor(0.6049)
116,tensor(0.5098)
117,tensor(0.5265)
118,tensor(0.5726)
119,tensor(0.5091)
120,tensor(0.5231)
121,tensor(0.4734)
122,tensor(0.5610)
123,tensor(0.4808)
124,tensor(0.5258)
125,tensor(0.5560)
126,tensor(0.4988)
127,tensor(0.5711)
128,tensor(0.5768)
129,tensor(0.7236)
130,tensor(0.5075)
131,tensor(0.5259)
132,tensor(0.5259)
133,tensor(0.5154)
134,tensor(0.5103)
135,tensor(0.5506)
136,tensor(0.5016)
137,tensor(0.5289)
138,tensor(0.5223)
139,tensor(0.5627)
140,tensor(0.4950)
141,tensor(0.7097)
142,tensor(0.5218)
143,tensor(0.5117)
144,tensor(0.5627)
145,tensor(0.6127)
146,tensor(0.5222)
147,tensor(0.6132)
148,tensor(0.7543)
149,tensor(0.7364)
150,tensor(0.5271)
151,tensor(0.5693)
152,tensor(0.7286)
153,tensor(0.5468)
154,tensor(0.5294)
155,tensor(0.5251)
156,tensor(0.5703)
157,tensor(0.6035)
158,tensor(0.5947)
159,tensor(0.5248)
160,tensor(0.5768)
161,tensor(0.4961)
162,tensor(0.5575)
163,tensor(0.6079)
164,tensor(0.5977)
165,tensor(0.5471)
166,tensor(0.5140)
167,tensor(0.5281)
168,tensor(0.4968)
169,tensor(0.5288)
170,tensor(0.7346)
171,tensor(0.5652)
172,tensor(0.4390)
173,tensor(0.4380)
174,tensor(0.4718)
175,tensor(0.6013)
176,tensor(0.5851)
177,tensor(0.5809)
178,tensor(0.5953)
179,tensor(0.5659)
180,tensor(0.5523)
181,tensor(0.4836)
182,tensor(0.7222)
183,tensor(0.5074)
184,tensor(0.7298)
185,tensor(0.5257)
186,tensor(0.5306)
187,tensor(0.5044)
188,tensor(0.5100)
189,tensor(0.4812)
190,tensor(0.6066)
191,tensor(0.5269)
192,tensor(0.7208)
193,tensor(0.5242)
194,tensor(0.5541)
195,tensor(0.5868)
196,tensor(0.5618)
197,tensor(0.7293)
198,tensor(0.5804)
199,tensor(0.5017)
200,tensor(0.5015)
201,tensor(0.5901)
202,tensor(0.5630)
203,tensor(0.5524)
204,tensor(0.5918)
205,tensor(0.5942)
206,tensor(0.7559)
207,tensor(0.5268)
208,tensor(0.5218)
209,tensor(0.5124)
210,tensor(0.4727)
211,tensor(0.5111)
212,tensor(0.5496)
213,tensor(0.5258)
214,tensor(0.4723)
215,tensor(0.5972)
216,tensor(0.5109)
217,tensor(0.5197)
218,tensor(0.5559)
219,tensor(0.5944)
220,tensor(0.9070)
221,tensor(0.7300)
222,tensor(0.5147)
223,tensor(0.5752)
224,tensor(0.5561)
225,tensor(0.5952)
226,tensor(0.5145)
227,tensor(0.5201)
228,tensor(0.7435)
229,tensor(0.7346)
230,tensor(0.5081)
231,tensor(0.8044)
232,tensor(0.5643)
233,tensor(0.5503)
234,tensor(0.7847)
235,tensor(0.5373)
236,tensor(0.4934)
237,tensor(0.5533)
238,tensor(0.6212)
239,tensor(0.7118)
240,tensor(0.6060)
241,tensor(0.6903)
242,tensor(0.5593)
243,tensor(0.7596)
244,tensor(0.5267)
245,tensor(0.5862)
246,tensor(0.5532)
247,tensor(0.5688)
248,tensor(0.4385)
249,tensor(0.5017)
250,tensor(0.4917)
251,tensor(0.5238)
252,tensor(0.4717)
253,tensor(0.4699)
254,tensor(0.8956)
255,tensor(0.6051)
256,tensor(0.5053)
257,tensor(0.5700)
258,tensor(0.4488)
259,tensor(0.5186)
260,tensor(0.7415)
261,tensor(0.5007)
262,tensor(0.5139)
263,tensor(0.5214)
264,tensor(0.5660)
265,tensor(0.6176)
266,tensor(0.7489)
267,tensor(0.5090)
268,tensor(0.5934)
269,tensor(0.5139)
270,tensor(0.5767)
271,tensor(0.6056)
272,tensor(0.4968)
273,tensor(0.4933)
274,tensor(0.4608)
275,tensor(0.5105)
276,tensor(0.5237)
277,tensor(0.5141)
278,tensor(0.5881)
279,tensor(0.6180)
280,tensor(0.7350)
281,tensor(0.4063)
282,tensor(0.6123)
283,tensor(0.5041)
284,tensor(0.5214)
285,tensor(0.5533)
286,tensor(0.6923)
287,tensor(0.4684)
288,tensor(0.5215)
289,tensor(0.5316)
290,tensor(0.5272)
291,tensor(0.7475)
292,tensor(0.4685)
293,tensor(0.5088)
294,tensor(0.7673)
295,tensor(0.4359)
296,tensor(0.5627)
297,tensor(0.5621)
298,tensor(0.5598)
299,tensor(0.6190)
300,tensor(0.5683)
301,tensor(0.5526)
302,tensor(0.5689)
303,tensor(0.4951)
304,tensor(0.5000)
305,tensor(0.5927)
306,tensor(0.5433)
307,tensor(0.6074)
308,tensor(0.5253)
309,tensor(0.5091)
310,tensor(0.4790)
311,tensor(0.4799)
312,tensor(0.5238)
313,tensor(0.5121)
314,tensor(0.5458)
315,tensor(0.5223)
316,tensor(0.5717)
317,tensor(0.5128)
